group_type,group_value,amd_tag,n_days,avg_mfe_pips,p50_mfe_pips,p75_mfe_pips,mfe_stddev,positive_mfe_count,positive_mfe_pct,avg_mae_pips,avg_close_pips,avg_giveback_to_close_pips,avg_max_giveback_from_peak_pips,avg_mfe_bar_index,avg_mfe_hour,rev_2.5_pct_hit,rev_2.5_avg_bar,rev_2.5_avg_peak_before,rev_5_pct_hit,rev_5_avg_bar,rev_5_avg_peak_before,rev_7.5_pct_hit,rev_7.5_avg_bar,rev_7.5_avg_peak_before,rev_10_pct_hit,rev_10_avg_bar,rev_10_avg_peak_before,rev_12.5_pct_hit,rev_12.5_avg_bar,rev_12.5_avg_peak_before,rev_15_pct_hit,rev_15_avg_bar,rev_15_avg_peak_before
daily_bias_alignment,CONFLICTED,AMD_SHIFTED,47,11.85,9.4,16,9.89,47,100,7.67,4.33,7.52,14.06,13.8,12.6,100,1,2.36,97.9,5.6,4.6,89.4,8.5,6.97,68.1,10.8,7.66,51.1,11.5,8.37,34,12.1,10.03
judas_direction,DOWN,AMD_SHIFTED,48,11.53,10.1,15.4,7.51,48,100,9.47,0.88,10.65,16.79,13.6,12.6,100,1.2,1.98,97.9,4.7,4.82,87.5,8.4,7.42,77.1,11.2,8.34,60.4,12.4,9.39,43.8,13.1,10.9
judas_direction,UP,AMD_SHIFTED,41,12.69,10.4,18.6,11.66,41,100,7.84,5.29,7.4,14.44,14.7,12.7,100,1,2.29,97.6,5.5,4.43,87.8,8.2,6.34,68.3,10.3,7.25,53.7,11.3,10.07,39,11.7,10.22
reversal_confirmed,false,AMD_SHIFTED,50,12.34,9.4,16,10.11,50,100,8.67,2.91,9.43,16.07,13.5,12.6,100,0.7,2.08,98,4.7,4.4,92,7.8,6.53,74,10.8,7.79,58,12.3,9.63,42,12.4,10.77
reversal_confirmed,true,AMD_SHIFTED,39,11.71,10.8,16.6,9.04,39,100,8.78,2.91,8.81,15.24,14.8,12.7,100,1.6,2.18,97.4,5.6,4.95,82.1,9,7.47,71.8,10.8,7.97,56.4,11.5,9.75,41,12.6,10.38
asian_range_bucket,25_40,AMD_SHIFTED,36,9.53,8.1,10.8,9.25,36,100,8.51,0.54,8.99,14.32,14.1,12.7,100,1.1,1.86,100,5.4,4.01,88.9,8.9,5.33,72.2,11.7,5.56,52.8,13.6,9.42,30.6,15.2,10.64
asian_range_bucket,GTE_40,AMD_SHIFTED,42,12.68,12.2,19,8.84,42,100,10.21,2.71,9.97,17.43,12.8,12.6,100,0.9,2.11,100,3.6,4.18,95.2,6.7,6.28,83.3,9.9,8.14,66.7,10.6,8.32,54.8,11.5,8.77
asian_range_bucket,LT_25,AMD_SHIFTED,11,18.01,14.8,18.6,10.94,11,100,3.72,11.42,6.59,13.66,19.2,12.9,100,2.2,3.04,81.8,10.9,9.33,54.5,16,19.62,36.4,13,20.52,36.4,13.3,20.52,27.3,10,24.53
ALL,ALL,AMD_NONE,34,14.51,10,16.6,18.19,34,100,7.68,4.07,10.45,17.19,11.9,10.5,100,0.3,3.38,100,2.2,4.66,88.2,6.3,7.82,76.5,9.7,9.74,61.8,11.3,12.66,44.1,12.1,9.83
daily_bias_alignment,ALIGNED,AMD_NONE,19,14.44,10.2,25.2,11.94,19,100,6.64,4.21,10.23,15.31,11.8,10.4,100,0.5,3.49,100,2.1,5.11,89.5,6.3,10.54,73.7,9.6,12.88,68.4,13,15.16,42.1,13.1,10.74
daily_bias_alignment,CONFLICTED,AMD_NONE,15,14.61,7.2,16.6,23.87,15,100,8.99,3.89,10.72,19.57,12,10.7,100,0.1,3.24,100,2.3,4.1,86.7,6.4,4.28,80,9.8,6.08,53.3,8.6,8.6,46.7,11,8.8
judas_direction,DOWN,AMD_NONE,19,12.39,10,16.6,11.95,19,100,7.22,3.1,9.29,14.95,11.4,10.5,100,0.2,3.39,100,2.2,4.38,89.5,6.5,8.34,78.9,10.1,11.63,63.2,10.8,14.24,36.8,10.9,11.1
judas_direction,UP,AMD_NONE,15,17.2,9.2,19.2,23.59,15,100,8.25,5.29,11.91,20.02,12.5,10.6,100,0.5,3.37,100,2.3,5.01,86.7,6.1,7.15,73.3,9.1,7.16,60,12.1,10.56,53.3,13.3,8.72
reversal_confirmed,false,AMD_NONE,16,7.8,7.4,14.1,5.34,16,100,8.96,-1.57,9.38,14.37,11.8,10.6,100,0.2,2.74,100,3.3,4.24,81.3,6.5,5.11,75,9.4,5.7,50,10.5,7.77,50,13.6,7.77
reversal_confirmed,true,AMD_NONE,18,20.48,12.6,25.3,22.9,18,100,6.53,9.08,11.4,19.69,12.1,10.5,100,0.4,3.94,100,1.3,5.03,94.4,6.2,9.9,77.8,9.9,13.2,72.2,11.8,15.67,38.9,10.4,12.19
asian_range_bucket,GTE_40,AMD_NONE,34,14.51,10,16.6,18.19,34,100,7.68,4.07,10.45,17.19,11.9,10.5,100,0.3,3.38,100,2.2,4.66,88.2,6.3,7.82,76.5,9.7,9.74,61.8,11.3,12.66,44.1,12.1,9.83
