trade_date,amd_tag,daily_bias_alignment,layer4_d1_bias,judas_direction,judas_pips,reversal_confirmed,asian_range_pips,predicted_direction,judas_window_direction,judas_window_pips,hour_10_direction,hour_10_pips,hour_10_correct,hour_11_direction,hour_11_pips,hour_11_correct,hour_12_direction,hour_12_pips,hour_12_correct,hour_13_direction,hour_13_pips,hour_13_correct,hour_14_direction,hour_14_pips,hour_14_correct,hour_15_direction,hour_15_pips,hour_15_correct,full_dist_direction,full_dist_pips,full_dist_correct,cumulative_10_correct,cumulative_11_correct,cumulative_12_correct,cumulative_13_correct
2025-06-20,AMD_TEXTBOOK,ALIGNED,TRENDING_DOWN,UP,10,true,23,DOWN,UP,7.3,DOWN,4.6,true,FLAT,0.2,n/a,FLAT,1.4,n/a,DOWN,16.7,true,DOWN,7.2,true,DOWN,12,true,DOWN,39.2,true,true,true,true,true
2025-06-23,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,DOWN,41,false,49,DOWN,DOWN,40.5,FLAT,0.4,n/a,UP,8,false,UP,3.4,false,UP,12.8,false,UP,26.6,false,DOWN,9.5,true,UP,41,false,n/a,false,false,false
2025-06-24,AMD_SHIFTED,CONFLICTED,TRENDING_UP,UP,22,true,42,UP,UP,16.1,FLAT,1,n/a,FLAT,0.6,n/a,DOWN,5,false,DOWN,13.1,false,UP,15.9,true,DOWN,9.1,false,DOWN,11.7,false,n/a,n/a,false,false
2025-06-25,AMD_COMPRESSION_BREAKOUT,ALIGNED,TRENDING_UP,DOWN,8,false,18,DOWN,FLAT,1.8,FLAT,0.1,n/a,FLAT,1.5,n/a,DOWN,5,true,DOWN,5.7,true,UP,7.2,false,DOWN,2.3,true,DOWN,4.4,true,n/a,n/a,true,true
2025-06-26,AMD_COMPRESSION_BREAKOUT,CONFLICTED,TRENDING_UP,UP,17,false,28,UP,UP,5,FLAT,0.4,n/a,DOWN,5.7,false,UP,9,true,UP,9.4,true,DOWN,2.7,false,UP,5.6,true,UP,15,true,n/a,false,true,true
2025-06-27,AMD_COMPRESSION_BREAKOUT,ALIGNED,TRENDING_UP,DOWN,9,false,21,DOWN,DOWN,7.5,DOWN,8.1,true,UP,4.4,false,UP,7,false,DOWN,17.9,true,FLAT,0.2,n/a,UP,6.1,false,DOWN,8.4,true,true,true,false,true
2025-06-30,AMD_TEXTBOOK,ALIGNED,TRENDING_UP,DOWN,9,true,25,UP,DOWN,8.7,UP,5.9,true,FLAT,1.2,n/a,FLAT,0,n/a,UP,12.7,true,UP,8.7,true,UP,20,true,UP,48,true,true,true,true,true
2025-07-01,AMD_TEXTBOOK,ALIGNED,TRENDING_UP,DOWN,9,true,34,UP,DOWN,3.3,FLAT,1,n/a,FLAT,0.4,n/a,DOWN,11.8,false,FLAT,0.2,n/a,FLAT,1.3,n/a,FLAT,1.6,n/a,DOWN,13.4,false,n/a,n/a,false,false
2025-07-02,AMD_FAILED,CONFLICTED,TRENDING_UP,UP,4,true,21,DOWN,FLAT,1.6,FLAT,0.7,n/a,DOWN,11.2,true,DOWN,2.6,true,FLAT,1,n/a,UP,13.2,false,UP,7.7,false,UP,6.6,false,n/a,true,true,true
2025-07-03,AMD_FAILED,CONFLICTED,TRENDING_UP,UP,6,true,24,DOWN,DOWN,2.7,FLAT,1.4,n/a,FLAT,0.6,n/a,DOWN,27.2,true,UP,23.9,false,DOWN,7.4,true,UP,10.1,false,DOWN,2.1,true,n/a,n/a,true,true
2025-07-04,AMD_FAILED,CONFLICTED,TRENDING_UP,UP,6,true,30,DOWN,UP,2.8,FLAT,0.8,n/a,FLAT,1.8,n/a,DOWN,7.6,true,FLAT,1,n/a,DOWN,2.1,true,FLAT,0.5,n/a,DOWN,7.3,true,n/a,n/a,true,true
2025-07-07,AMD_NONE,CONFLICTED,TRENDING_DOWN,DOWN,18,false,53,DOWN,DOWN,7.3,FLAT,0.2,n/a,UP,3.4,false,UP,2.4,false,UP,11.4,false,FLAT,0.6,n/a,DOWN,3,true,UP,14.4,false,n/a,false,false,false
